CleanedJuryData.csv,judge,type,code,jcp,age,gender,edu,,NOTES,,
38,SRU,civil,NI,NI,46,M,18,,,,
38,SRU,civil,NI,NI,58,M,24,,,,
38,SRU,civil,NI,NI,56,M,7,,,,
38,SRU,civil,NI,NI,56,M,17,,,,
38,SRU,civil,NI,NI,32,F,11,,,,
38,SRU,civil,NI,NI,27,F,18,,,,
38,SRU,civil,NI,NI,46,F,16,,,,
38,SRU,civil,NI,NI,48,F,15,,,,
38,SRU,civil,NI,NI,47,M,17,,,,
38,SRU,civil,NI,NI,67,F,16,,,,
38,SRU,civil,NI,NI,56,F,12,,,,
38,SRU,civil,NI,NI,32,M,12,,,,
38,SRU,civil,NI,NI,44,M,22,,,,
38,SRU,civil,NI,NI,45,M,15,,,,
38,SRU,civil,NI,NI,50,F,12,,,,
38,SRU,civil,NI,NI,34,M,13,,,,
38,SRU,civil,NI,NI,41,F,12,,,,
38,SRU,civil,NI,NI,43,M,10,,,,
38,SRU,civil,NI,NI,63,M,16,,,,
38,SRU,civil,NI,NI,57,F,14,,,,
38,SRU,civil,NI,NI,50,F,14,,,,
38,SRU,civil,NI,NI,37,M,15,,,,
38,SRU,civil,NI,NI,72,F,19,,,,
38,SRU,civil,NI,NI,46,M,22,,,,
38,SRU,civil,NI,NI,48,M,16,,,,
38,SRU,civil,NI,NI,54,M,16,,,,
38,SRU,civil,NI,NI,72,F,17,,,,
38,SRU,civil,NI,NI,21,M,14,,,,
38,SRU,civil,NI,NI,35,M,15,,,,
38,SRU,civil,NI,NI,40,M,14,,,,
38,SRU,civil,NI,NI,42,F,12,,,,
38,SRU,civil,NI,NI,50,M,19,,,,
38,SRU,civil,NI,NI,43,F,14,,,,
38,SRU,civil,NI,NI,42,M,16,,,,
38,SRU,civil,NI,NI,56,M,18,,,,
38,SRU,civil,NI,NI,62,F,12,,,,
38,SRU,civil,NI,NI,36,F,17,,,,
38,SRU,civil,NI,NI,35,F,18,,,,
38,SRU,civil,NI,NI,44,M,17,,,,
38,SRU,civil,NI,NI,56,F,17,,,,
10,AWT,criminal,J,NCP,42,F,12,,,,
10,AWT,criminal,CP,CP,31,F,16,,,,
10,AWT,criminal,CP,CP,44,F,13,,,,
10,AWT,criminal,CP,CP,44,M,14,,,,
10,AWT,criminal,J,NCP,37,M,18,,,,
10,AWT,criminal,CP,CP,38,F,13,,,,
10,AWT,criminal,PD,NCP,38,M,15,,,,
10,AWT,criminal,J,NCP,52,F,12,,,,
10,AWT,criminal,J,NCP,50,M,17,,,,
10,AWT,criminal,CP,CP,40,M,13,,,,
10,AWT,criminal,CP,CP,67,M,16,,,,
10,AWT,criminal,CP,CP,56,M,14,,,,
10,AWT,criminal,J,NCP,53,F,18,,,,
10,AWT,criminal,CP,CP,24,M,17,,,,
10,AWT,criminal,CP,CP,43,M,20,,,,
10,AWT,criminal,PP,NCP,60,M,14,,,,
10,AWT,criminal,PD,NCP,39,F,14,,,,
10,AWT,criminal,PP,NCP,45,M,22,,,,
10,AWT,criminal,CP,CP,50,M,16,,,,
10,AWT,criminal,CP,CP,45,M,17,,,,
10,AWT,criminal,PD,NCP,24,F,17,,,,
10,AWT,criminal,CP,CP,31,F,13,,,,
10,AWT,criminal,CP,CP,34,M,18,,,,
10,AWT,criminal,CP,CP,35,F,16,,,,
10,AWT,criminal,PP,NCP,68,F,15,,,,
10,AWT,criminal,CP,CP,27,F,14,,,,
10,AWT,criminal,PD,NCP,61,F,12,,,,
10,AWT,criminal,CP,CP,39,F,15,,,,
10,AWT,criminal,J,NCP,64,F,14,,,,
10,AWT,criminal,PD,NCP,43,M,12,,,,
10,AWT,criminal,CP,CP,30,F,13,,,,
10,AWT,criminal,CP,CP,28,F,16,,,,
10,AWT,criminal,CP,CP,59,M,10,,,,
10,AWT,criminal,CP,CP,63,M,14,,,,
10,AWT,criminal,CP,CP,70,F,12,,,,
10,AWT,criminal,J,NCP,48,F,13,,,,
10,AWT,criminal,PP,NCP,34,F,12,,,,
10,AWT,criminal,CP,CP,48,M,14,,,,
10,AWT,criminal,CP,CP,35,F,18,,,,
10,AWT,criminal,CP,CP,45,F,13,,,,
10,AWT,criminal,J,NCP,49,F,12,,,,
10,AWT,criminal,CP,CP,60,F,16,,,,
10,AWT,criminal,PD,NCP,47,F,12,,,,
10,AWT,criminal,CP,CP,57,F,19,,,,
10,AWT,criminal,CP,CP,45,F,19,,,,
10,AWT,criminal,J,NCP,60,M,22,,,,
10,AWT,criminal,J,NCP,34,F,14,,,,
10,AWT,criminal,CP,CP,38,M,12,,,,
10,AWT,criminal,CP,CP,43,M,19,,,,
10,AWT,criminal,CP,CP,40,M,16,,,,
10,AWT,criminal,PP,NCP,39,M,20,,,,
10,AWT,criminal,PP,NCP,45,F,20,,,,
10,AWT,criminal,CP,CP,52,F,13,,,,
10,AWT,criminal,CP,CP,55,M,12,,,,
10,AWT,criminal,PD,NCP,53,M,16,,,,
10,AWT,criminal,PD,NCP,35,M,17,,,,
10,AWT,criminal,PP,NCP,40,F,22,,,,
